ID,Schenk_Jackson_2002,latitude,longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
RG31d,YES,-2.75,38.13,767,Total,number,-999,1.2,no,-999,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1498,767,"tropical, seas",0.43,1.08,0.58,1.99
RG32,YES,29.17,75.77,215,2,mass,0.91,1.2,no,medium,0,1,0,0,0,0,0,0,drought-deciduous,N,N,Savanna,7,1687,550,summer maximum,0.21,0.82,0.22,1.11
RG33a,YES,-1.18,36.63,~2200,Total,volume,-999,5.79,no,medium,0,1,0,0,0,0,0,0,evergreen,N,N,Savanna,7,1461,967,"tropical, seas",0.06,3.64,0.06,3.64
RG33b,YES,-1.18,36.63,~2200,Total,volume,-999,4.88,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1461,967,"tropical, seas",0.22,3.02,0.22,3.02
RG34a,NO,-21.1,-47.75,-999,Total,mass,0.34,2.24,no,fine,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,1280,1483,"tropical, seas",0.13,1.62,0.15,2.08
RG34b,NO,-21.1,-50.9,-999,Total,mass,0.24,2.8,no,fine,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,1293,1326,"tropical, seas",0.42,2.03,0.42,2.13
RG35,NO,11.43,-3.4,-999,Total,number,-999,7.5,no,medium,0,1,0,0,0,0,0,0,deciduous during wet,Y,N,Savanna,7,1981,924,"tropical, seas",3.41,6.74,3.41,6.74
RG36a,NO,-6.83,37.63,-999,Total,mass,0.08,0.8,no,medium,0,1,0,0,0,0,0,0,drought-deciduous,Y,N,Savanna,7,1275,870,"tropical, seas",0.29,0.72,0.39,1.33
RG36b,NO,-6.83,37.63,-999,Total,mass,0.07,1,no,medium,0,1,0,0,0,0,0,0,evergreen,Y,N,Savanna,7,1275,870,"tropical, seas",0.35,0.91,0.5,1.7
RG37,NO,0.47,32.45,-999,Total,mass,1.05,0.8,no,fine,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,1209,1400,"non-tropical,",0.07,0.58,0.08,1
RG38,NO,6.07,80.67,-999,Total,mass,4.74,3.05,no,fine,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,1528,1800,"non-tropical,",0.26,1.22,0.26,1.22
RG39,NO,-2.98,-47.52,-999,Total,mass,1.01,4,yes,fine,0,1,0,0,0,1,0,0,evergreen,Y,N,Pasture,10,1313,1800,"tropical, seas",0.68,2.89,0.68,2.89
RG40,NO,25.33,83,-999,Total,mass,0.7,0.5,no,fine,0,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,1314,1040,"tropical, seas",0.03,0.27,0.03,0.39
SC02,YES,-33.95,18.92,400,Total,mass,1.22,3.5,no,coarse,0,0,0,1,0,1,1,0,-999,N,N,Closed shrubland,8,1285,1700,winter maximum,0.07,0.32,0.07,0.32
SC04,YES,32.78,-116.53,1400,Total,mass,1.34,1,no,medium,0,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1276,460,winter maximum,0.4,0.83,0.42,1.05
SC05,YES,43.7,3.85,-999,Total,mass,8.94,1,no,medium,0,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1222,900,"non-tropical,",0.15,0.72,0.17,1.07
SC06,YES,-29.87,115.25,-999,Total,mass,3.07,1.8,no,coarse,0,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1604,530,winter maximum,0.13,0.95,0.13,1.19
SC07,YES,37.12,-6.2,-999,Total,mass,1.33,1,no,coarse,0,0,0,1,1,0,0,0,-999,N,N,Closed shrubland,8,1490,620,winter maximum,0.12,0.82,0.18,1.57
SC09a,YES,32.9,-116.65,1000,Total,mass,-999,0.8,no,medium,0,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1276,550,winter maximum,0.11,0.42,0.11,0.48
SC09b,YES,-33.07,-71,1000,Total,mass,-999,1,no,-999,0,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1103,550,winter maximum,0.26,0.85,0.31,1.45
SC10a,YES,-36.03,140.4,-999,Total,mass,6.34,0.76,no,coarse,0,0,0,1,1,1,1,0,-999,N,N,Closed shrubland,8,1308,457,winter maximum,0.13,0.44,0.13,0.5
SC10b,YES,-36.03,140.4,-999,Total,mass,6.8,1.83,no,coarse,0,0,0,1,1,1,1,0,-999,N,N,Closed shrubland,8,1308,457,winter maximum,0.13,0.68,0.13,0.73
SC10c,YES,-36.03,140.4,-999,Total,mass,8.08,0.76,no,coarse,0,0,0,1,1,1,1,0,-999,N,N,Closed shrubland,8,1308,457,winter maximum,0.1,0.35,0.1,0.37
SC11a,YES,-32.27,116.38,-999,Total,length,-999,18,no,medium,0,1,0,0,0,0,0,0,evergreen,N,N,Xeric forest,6,1420,950,winter maximum,0.24,5.62,0.24,5.62
SC11b,YES,-32.27,116.38,-999,Total,length,-999,15,no,medium,0,1,0,0,0,0,0,0,evergreen,N,N,Xeric forest,6,1420,950,winter maximum,0.21,9.01,0.21,9.01
SC12,YES,33.88,-116.75,1150,Total,number,-999,2,no,medium,0,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1331,550,winter maximum,0.25,1.56,0.29,2.2
SC13,YES,33.58,-111.27,1006,Total,mass,10.42,2.8,no,medium,0,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1780,653,"non-tropical,",0.57,1.99,0.58,2.07
SC14,YES,37.97,23.92,140,Total,mass,0.45,0.8,no,medium,0,1,0,0,0,1,1,0,evergreen,Y,N,Wooded grassland,6,1529,496,winter maximum,0.07,0.57,0.08,0.96
SC15a,YES,-33.95,118.48,-999,Total,mass,0.52,0.51,no,medium,3,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1194,340,winter maximum,0.05,0.25,0.05,0.3
SC15b,YES,-31.95,115.82,-999,Total,mass,11.09,0.67,no,coarse,4,0,0,1,0,0,0,0,-999,N,N,Closed shrubland,8,1272,820,winter maximum,0.02,0.19,0.02,0.21
SG05,YES,40.82,-104.78,1650,Total,length,-999,1,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1248,321,summer maximum,0.22,0.83,0.27,1.45
SG06a,YES,40.82,-104.77,1650,2,mass,1.79,0.9,no,medium,0,0,0,1,0,1,0,1,-999,N,N,Grassland,10,1248,311,summer maximum,0.08,0.72,0.13,1.39
SG06b,YES,40.82,-104.77,1650,2,mass,3.4,0.9,no,medium,0,0,0,1,0,1,0,0,-999,N,N,Grassland,10,1248,311,summer maximum,0.24,0.8,0.36,1.52
SG06c,YES,40.82,-104.77,1650,2,mass,1.88,0.9,no,medium,0,0,0,1,0,0,0,0,-999,N,N,Wooded grassland,7,1248,311,summer maximum,0.14,0.62,0.15,0.88
SG06d,YES,40.82,-104.77,1650,2,mass,1.64,0.9,no,medium,0,0,0,0,1,1,0,0,-999,N,N,Grassland,10,1248,311,summer maximum,0.12,0.71,0.16,1.26
SG06e,YES,40.82,-104.77,1650,2,mass,1.32,0.9,no,medium,0,0,0,0,1,1,0,0,-999,N,N,Grassland,10,1248,311,summer maximum,0.1,0.69,0.13,1.24
SG09,YES,-44.88,-71.33,1160,Total,mass,2.14,2,no,medium,0,0,0,1,0,1,0,0,-999,N,N,Grassland,10,881,290,winter maximum,0.13,1.01,0.13,1.19
