latitude,longitude,tovr
47.66,8.68,5.79
47.67,8.68,15.05
47.69,8.68,13.2
47.69,8.68,12.26
47.68,8.69,1.4
47.68,8.68,19.01
47.68,8.75,39.53
47.67,8.75,37.55
47.65,8.74,5.61
47.66,8.74,7.31
47.68,8.74,14.85
47.65,8.74,5.93
47.68,8.74,18.1
47.67,8.74,11.73
47.67,8.74,11.16
47.69,8.74,16.09
47.67,8.75,41.01
47.68,8.75,2.16
47.66,8.75,5.83
47.65,8.76,27.4
47.65,8.74,30.87
47.69,8.74,16.06
47.67,8.74,14.84
47.68,8.75,14.93
47.66,8.74,5.9
47.65,8.75,6.35
47.54,8.89,33.92
47.57,8.88,31.58
47.57,8.88,31.84
47.55,8.87,28.5
47.64,9.17,32.81
47.57,9.36,2.06
47.55,9.37,30.98
47.56,9.37,1.31
47.56,9.37,1.56
47.65,8.73,7.41
47.67,8.78,44.11
47.65,8.74,5.78
47.66,8.75,4.97
47.69,8.73,15.88
47.66,8.78,6.1
47.67,8.73,10.91
47.67,8.78,35.6
47.69,8.75,1.81
47.67,8.76,36.81
47.69,8.76,28.94
47.65,8.78,6.35
47.67,8.77,36.97
47.56,9.12,38.01
47.69,8.7,14.49
47.56,9.36,3.61
47.52,9.41,21.29
47.58,9.36,35.72
47.51,9.42,1.85
47.44,8.91,43.05
47.52,9.23,34.73
47.54,9.23,27.8
47.5,9.25,31.1
47.49,9.26,32.26
47.5,9.28,35.67
47.52,9.28,33.92
47.49,9.28,29.9
47.53,9.29,40.87
47.59,9.29,30.88
47.58,9.29,30.24
47.56,9.23,27.83
47.5,9.23,37.55
47.62,9.24,25.67
47.57,9.24,16.81
47.48,9.23,34.52
47.61,9.24,14.54
47.53,9.25,32.55
47.54,9.26,31.25
47.56,9.26,17.47
47.57,9.26,26.26
47.59,9.27,30.72
47.5,9.03,34.14
47.57,7.81,0.76
47.57,7.81,0.23
47.5,8.27,18.99
47.6,9.16,26.38
47.0,7.4,32.46
47.13,7.83,41.93
46.97,7.5,19.45
46.99,7.39,20.31
46.9,7.54,2.12
47.13,7.83,33.53
47.55,9.36,33.17
47.52,7.52,2.95
47.03,7.53,28.55
47.24,7.8,33.39
47.48,7.72,33.14
47.42,7.93,47.41
47.44,7.79,34.77
47.54,7.54,6.31
47.53,9.4,32.65
47.52,9.39,33.55
47.56,9.37,0.69
47.5,9.36,30.31
47.54,9.36,18.75
47.57,9.35,30.37
47.56,9.34,30.18
47.49,9.31,24.55
47.48,9.12,39.89
47.6,9.1,28.7
47.56,9.1,31.15
47.61,9.1,27.46
47.58,9.09,24.66
47.65,9.08,35.3
47.54,9.17,29.78
47.51,9.07,34.72
47.66,9.07,34.75
47.52,9.05,34.32
47.54,9.05,36.12
47.61,9.05,18.88
47.45,9.03,38.75
47.6,9.03,28.44
47.58,9.02,29.62
47.44,9.02,43.14
47.65,9.02,30.07
47.54,9.02,26.39
47.56,9.01,16.31
47.68,8.73,16.14
47.67,8.8,35.41
47.66,8.72,6.65
47.67,8.79,6.45
47.66,8.72,5.89
47.67,8.7,14.66
47.6,9.31,24.27
47.56,9.29,0.51
47.68,8.74,15.62
47.6,9.23,31.87
47.56,9.2,31.97
47.5,9.2,29.85
47.63,9.21,32.68
47.59,9.18,30.37
47.66,8.73,4.81
47.65,8.71,22.25
47.67,8.69,11.46
47.56,9.18,31.74
47.51,9.17,30.9
47.54,9.16,32.26
47.64,9.16,28.55
47.49,9.15,34.98
47.62,9.15,31.45
47.62,9.13,27.21
47.61,9.01,30.8
47.43,8.99,41.08
47.45,8.99,46.49
47.62,8.99,19.32
47.58,8.99,29.16
47.63,8.99,34.3
47.54,8.99,31.1
47.49,8.99,28.04
47.51,8.99,33.59
47.56,8.99,36.45
47.59,8.99,26.91
47.47,8.98,41.11
47.54,8.97,30.48
47.43,8.96,35.64
47.59,8.97,29.01
47.64,8.97,26.18
47.65,8.97,33.56
47.56,8.97,33.56
47.62,8.97,28.31
47.51,8.96,24.31
47.46,8.96,32.2
47.65,8.95,31.5
47.44,8.94,38.95
47.61,8.94,29.48
47.57,8.94,24.33
47.4,8.93,36.24
47.49,8.93,34.79
47.58,8.94,28.77
47.63,8.94,30.74
47.59,8.92,29.77
47.49,8.91,36.72
47.53,8.89,40.8
47.63,8.89,27.8
47.62,8.89,31.51
47.58,8.86,25.56
47.64,8.86,32.17
47.55,8.85,31.14
47.58,8.84,28.7
47.62,8.84,31.36
47.65,8.83,33.07
47.62,8.81,30.98
47.58,8.81,29.72
47.6,8.78,33.87
47.66,8.73,7.35
47.67,8.79,35.12
47.67,8.7,14.36
47.66,8.69,5.25
47.66,8.71,6.1
47.66,8.78,6.14
47.68,8.77,25.61
47.68,8.77,28.63
47.66,8.77,5.89
47.65,8.77,7.09
47.68,8.78,31.35
47.65,8.71,7.69
47.67,8.71,11.07
47.68,8.71,14.3
47.68,8.76,28.58
47.66,8.71,8.2
47.65,8.76,21.71
47.65,8.7,5.8
47.65,8.7,6.42
47.67,8.72,14.35
47.65,8.7,30.14
47.65,8.7,6.82
47.66,8.7,6.07
47.68,8.7,1.01
47.68,8.76,3.65
47.66,8.7,6.44
47.67,8.72,14.96
47.51,7.82,32.67
47.57,7.81,0.23
47.5,9.01,27.24
47.52,9.43,0.9
47.51,9.43,0.78
47.5,9.43,2.71
47.5,9.42,19.23
47.5,9.42,32.21
47.51,9.42,0.29
47.51,9.4,23.26
47.57,9.38,0.29
47.57,9.38,0.52
47.57,9.38,0.5
47.56,9.38,0.93
47.56,9.35,30.59
47.57,9.35,30.01
47.5,9.26,28.2
47.49,9.25,1.24
47.49,9.24,0.63
47.49,9.24,34.07
47.49,9.24,25.5
47.51,9.24,27.56
47.64,9.2,28.24
47.64,9.18,32.4
47.31,8.38,31.75
46.98,7.71,21.26
47.16,7.79,26.88
46.94,7.75,21.1
46.91,7.6,36.47
47.03,7.29,14.87
47.24,7.81,39.24
47.26,8.39,7.41
47.52,8.09,42.63
47.11,7.6,12.8
47.41,8.19,31.38
47.52,8.17,39.91
47.57,7.81,0.86
47.51,7.9,27.79
47.5,7.78,55.81
47.49,7.82,22.62
47.52,7.76,20.85
47.53,7.53,5.07
47.5,7.81,35.14
47.57,7.81,0.72
47.52,7.76,24.2
47.52,7.53,4.83
47.5,7.81,32.34
47.52,7.76,29.55
47.58,8.89,29.77
47.45,8.94,38.22
47.59,9.12,35.62
46.94,7.25,23.36
47.45,9.0,36.97
47.68,8.72,14.21
48.92,12.45,13.84
48.92,12.45,18.45
50.74,8.88,24.44
50.74,8.88,29.49
48.91,8.41,46.98
48.92,12.45,18.45
51.36,9.91,8.12
50.98,11.66,37.51
48.97,12.66,15.62
48.97,12.66,16.25
48.92,12.45,18.45
48.91,8.41,46.98
48.91,8.41,43.77
51.36,9.92,10.04
48.97,12.66,18.69
48.97,12.66,18.69
48.97,12.66,18.61
48.91,8.42,43.77
50.76,8.88,6.26
48.92,12.45,18.11
50.76,8.88,6.16
50.76,8.87,7.59
48.97,12.66,18.61
48.97,12.66,18.69
50.74,8.88,30.9
48.91,8.41,46.98
50.74,8.88,28.66
50.74,8.88,27.81
50.76,8.87,7.09
48.91,8.41,43.77
49.04,6.4,17.94
45.94,3.29,17.0
46.98,7.13,15.67
47.18,7.42,30.19
47.05,8.37,63.36
47.1,5.55,30.37
47.87,3.63,21.67
47.52,8.02,1.46
44.61,2.59,24.71
47.43,7.72,29.63
47.7,8.48,5.64
48.38,6.75,39.04
49.5,5.87,26.49
47.48,8.7,4.79
49.75,6.07,31.23
48.37,6.82,31.7
49.8,5.92,41.34
47.42,9.03,17.11
47.37,8.75,35.9
46.82,7.68,20.57
49.95,5.87,27.71
50.23,5.68,27.25
44.76,2.01,11.18
46.88,7.13,4.73
47.07,8.37,18.47
46.95,7.7,42.13
49.98,4.25,23.17
47.75,4.25,34.65
47.93,4.05,39.71
47.07,5.34,18.94
48.73,6.32,20.27
46.97,7.5,15.67
49.67,6.12,22.28
48.31,6.99,43.94
49.8,5.92,41.34
49.68,6.12,17.71
46.97,7.08,31.15
49.58,5.73,40.06
49.72,5.7,39.64
49.58,5.98,15.75
49.45,5.98,55.87
44.77,2.02,11.35
46.72,6.75,7.78
47.79,3.65,28.73
49.78,5.98,33.53
49.63,5.47,40.17
49.75,6.28,40.13
47.43,7.02,33.49
47.5,7.68,26.18
47.28,7.28,40.91
44.51,2.37,14.21
47.17,9.02,19.26
47.23,7.05,42.2
47.23,7.95,33.02
47.25,8.1,47.49
44.81,4.27,33.52
49.48,15.89,8.91
49.44,15.38,9.02
50.39,12.82,39.01
49.58,16.18,10.79
49.98,17.43,23.85
49.73,12.58,23.1
49.83,12.59,19.25
48.85,14.39,25.09
