latitude,longitude,tovr
47.17,9.02,24.15
47.23,7.95,118.45
47.25,8.1,33.93
44.81,4.27,317.56
49.48,15.89,1.79
49.44,15.38,3.0
50.39,12.82,5.81
49.58,16.18,0.81
49.98,17.43,1.93
49.73,12.58,10.22
49.83,12.59,7.07
48.85,14.39,4.9
49.05,15.43,3.27
49.74,14.47,1.93
49.93,12.86,2.05
49.29,14.81,2.82
49.5,13.2,0.63
49.85,13.75,4.64
50.11,16.9,2.25
49.46,15.75,0.8
50.17,17.2,5.4
49.47,15.16,2.91
49.7,16.64,1.83
48.91,14.89,14.11
49.04,15.39,4.81
49.8,16.5,2.17
49.42,12.99,3.57
49.88,14.97,2.7
49.38,14.95,2.02
49.5,13.28,1.01
50.58,15.18,0.8
50.45,15.79,7.91
50.93,15.11,1.03
49.97,15.81,0.69
49.59,13.4,3.04
49.76,12.73,5.17
49.55,12.89,4.0
49.2,14.65,3.0
49.95,15.51,3.88
50.91,15.09,4.13
50.65,14.54,3.99
49.33,14.58,1.15
50.13,15.85,7.33
50.15,12.28,5.45
49.7,16.27,4.77
48.83,14.44,2.53
49.87,14.97,2.42
51.0,14.55,9.27
49.42,14.6,3.42
50.13,16.99,1.84
49.4,13.69,3.43
50.25,12.17,3.28
49.46,14.48,11.87
50.01,13.1,4.09
50.0,13.24,10.1
49.43,13.94,2.1
49.54,12.86,4.99
49.78,14.52,0.79
49.56,14.99,0.63
49.58,16.59,1.49
50.1,13.38,7.11
49.64,16.13,10.73
49.95,16.57,3.93
50.75,15.35,4.7
49.04,14.63,5.09
49.98,17.52,1.44
50.72,14.19,7.33
49.01,14.64,1.48
49.1,14.59,3.28
49.67,14.26,3.41
50.03,16.27,0.85
50.5,16.07,1.2
50.91,15.02,3.75
50.73,14.69,0.99
49.33,13.17,3.05
49.79,14.17,2.0
49.2,14.0,4.31
50.13,16.77,4.37
50.47,15.2,2.61
49.25,13.85,9.47
49.18,13.88,2.06
49.8,16.06,2.83
50.67,13.78,5.12
49.81,14.39,12.37
49.74,16.34,1.69
50.72,15.04,6.46
49.48,16.42,0.43
50.05,15.89,8.47
49.82,16.34,2.19
48.67,14.19,4.43
49.43,14.41,11.35
49.03,13.58,4.53
49.91,12.96,4.61
49.71,14.26,8.47
49.58,15.62,1.2
50.3,17.05,2.84
49.76,12.91,7.79
49.74,14.57,2.65
49.14,14.49,0.99
50.6,13.66,5.16
50.61,14.52,3.45
50.73,14.04,1.27
50.06,12.8,3.81
49.72,14.28,6.93
49.13,15.2,14.63
50.41,15.91,0.99
48.66,14.58,7.93
49.19,15.28,1.22
48.68,14.29,2.08
50.11,12.82,4.13
49.99,13.21,22.78
50.56,15.67,2.87
49.36,13.41,11.25
49.71,13.97,1.45
49.94,12.62,6.2
50.11,12.65,3.57
49.42,12.91,3.58
49.33,14.39,1.3
49.79,12.81,4.82
49.5,14.99,5.17
49.66,13.64,15.83
49.58,13.31,4.5
49.47,13.85,4.03
49.66,16.34,39.22
49.29,13.95,3.01
50.18,13.63,10.6
50.73,14.38,2.92
50.58,15.43,4.03
50.66,15.11,8.72
49.72,15.87,6.11
49.31,15.33,0.44
49.03,14.38,2.51
49.05,14.21,2.65
49.5,12.91,2.1
49.61,14.75,3.25
49.73,15.9,3.01
49.83,15.91,0.51
49.96,15.63,2.31
48.99,14.28,5.99
49.54,15.06,1.85
50.34,16.26,3.01
50.06,16.35,4.02
50.69,14.35,5.98
50.98,15.08,5.3
49.96,13.87,1.24
49.48,13.29,6.47
49.07,14.14,0.85
50.68,15.29,7.53
50.43,15.97,2.06
49.75,14.89,3.3
50.55,15.63,1.58
49.58,14.23,2.95
50.73,14.28,3.28
49.24,14.52,5.08
49.47,15.97,0.78
50.4,16.19,13.47
49.97,16.7,15.55
49.57,14.34,6.67
48.94,14.09,10.7
50.58,13.33,10.33
49.59,14.71,4.77
50.89,14.56,7.08
49.64,17.67,10.8
49.55,13.31,3.38
49.78,12.98,6.08
49.47,13.73,13.04
49.62,12.68,18.23
49.17,14.37,4.0
49.88,12.75,6.27
50.17,13.14,5.7
49.63,13.63,4.66
49.39,14.51,2.72
50.61,15.4,5.36
49.27,13.41,10.95
49.02,14.29,3.33
50.61,15.84,6.27
50.04,13.55,6.92
49.54,13.23,3.34
49.76,13.48,2.46
49.28,15.6,1.87
49.98,13.4,7.88
49.51,13.81,4.28
50.13,15.86,24.66
49.92,12.68,1.11
49.23,13.25,16.51
50.3,12.8,6.11
49.44,14.84,1.18
50.1,13.41,5.1
49.3,14.33,3.65
49.51,12.96,5.25
49.51,16.09,0.79
49.38,15.03,1.33
50.03,13.0,2.08
49.79,17.42,1.7
50.63,14.93,1.58
49.94,16.37,0.7
50.75,14.21,3.5
50.03,16.98,1.06
48.7,14.59,2.72
50.67,13.81,0.86
49.51,12.67,8.23
50.07,16.71,2.82
50.14,12.58,6.91
50.68,15.25,24.13
50.68,14.64,4.14
49.74,15.42,1.45
49.61,15.83,3.21
49.54,13.8,0.97
49.47,15.88,0.37
49.94,13.03,13.01
50.1,12.59,4.07
50.89,15.2,5.35
49.36,15.06,0.41
50.56,15.19,1.06
50.17,13.34,2.28
50.58,15.2,1.05
49.55,14.02,1.17
49.32,13.39,8.97
50.32,12.63,7.53
50.83,14.28,1.6
49.27,13.46,0.7
49.85,15.94,0.6
49.52,14.05,2.05
50.61,15.27,7.12
50.02,17.61,2.28
49.38,14.46,5.33
50.58,16.39,1.63
50.72,13.63,6.65
49.94,13.87,7.68
49.46,15.24,4.97
49.92,12.63,12.31
49.53,14.45,2.58
49.33,13.22,2.15
48.84,14.87,2.45
50.71,15.12,12.5
50.56,13.41,21.17
49.65,14.37,7.71
49.97,13.44,3.87
50.33,13.24,8.91
49.99,13.75,10.63
49.71,13.36,12.39
49.87,15.06,2.66
50.51,13.9,2.97
49.43,15.66,0.94
50.54,15.43,2.17
50.4,13.19,4.07
50.02,12.54,3.23
49.99,15.8,3.6
49.57,13.61,4.25
49.66,14.87,1.3
-4.95,12.1,157.67
-5.09,12.12,48.25
-5.1,12.17,92.14
-5.28,12.18,56.56
-5.63,12.19,36.73
-5.05,12.2,31.52
-4.77,12.2,21.25
-5.19,12.22,89.69
-5.66,12.23,23.96
-5.18,12.24,186.15
-5.69,12.26,49.59
-4.84,12.27,19.18
-5.59,12.27,93.06
-5.2,12.28,111.14
-5.13,12.28,73.08
-5.62,12.3,154.42
-5.09,12.31,33.18
-5.17,12.35,18.21
-5.07,12.35,32.29
-5.17,12.35,30.73
-5.65,12.36,33.03
-4.9,12.38,33.16
-4.99,12.39,26.23
-5.42,12.51,50.27
-5.36,12.51,117.85
-5.02,12.51,72.5
-4.45,12.84,53.57
-6.28,13.62,28.5
-6.15,13.73,23.48
-6.06,13.84,27.53
-6.41,14.07,47.48
-6.05,14.14,137.08
-6.81,14.16,20.36
-7.17,14.29,51.57
-6.19,14.35,73.92
-6.98,14.39,32.68
-7.21,14.48,51.82
-5.96,14.54,53.97
-6.15,14.64,46.76
-6.9,14.65,27.51
-5.97,14.7,52.86
-6.3,14.77,54.83
-5.96,14.86,45.63
-6.66,14.87,17.31
-6.18,14.93,56.64
-6.65,14.97,89.6
-5.95,14.97,21.56
-5.98,14.98,48.59
-6.04,15.03,39.73
-6.64,15.06,61.32
-6.18,15.06,52.24
-6.14,15.06,37.62
-6.2,15.08,43.46
-6.57,15.09,60.89
-6.1,15.09,29.38
-6.08,15.1,21.23
-6.63,15.13,36.32
-6.11,15.15,15.2
-6.88,15.27,42.49
-6.88,15.3,45.73
-7.02,15.32,46.76
-7.05,15.32,40.26
-6.99,15.32,23.26
-7.07,15.32,51.77
-7.13,15.33,22.02
-6.92,15.39,50.58
-6.12,15.41,23.6
-6.98,15.47,11.28
-6.24,15.47,9.56
-6.37,15.47,14.88
-7.04,15.56,23.25
-7.89,15.65,10.11
-7.16,15.69,22.44
-8.02,15.74,17.05
-7.56,15.81,51.35
-6.04,15.84,20.35
-6.73,15.88,22.53
-8.18,15.88,20.1
-8.43,15.91,43.44
-5.9,15.96,23.21
-8.43,15.97,26.73
-9.07,15.97,29.83
-7.24,16.05,43.88
-9.25,16.09,22.2
-9.29,16.11,21.97
-7.05,16.11,27.51
-7.17,16.16,29.93
-6.86,16.16,37.26
-8.3,16.19,33.41
